,date,lat,long,pano_id,name,pano_yaw_deg,tilt_yaw_deg,tilt_pitch_deg
16572,2017-08,43.0387787,-88.00975940000001,2tCRvxxbf7nwiORVgu8yxA,7513,268.96,143.43,1.2099999
16573,2018-08,43.036517563749115,-88.00604933466205,OzOMbrJ1-TuXRMpNPZ0wBQ,7514,3.87,57.96,0.5
16574,2017-08,43.032154,-88.0060298,C5Aq9brN7uDVdSDSTYEz9Q,7515,331.00998,-131.14,2.79
16575,2018-09,43.06119819818882,-88.03314314552027,wDLIW5OSI5qT0Ciqo0r61w,7516,122.02,65.76,0.61
16576,2011-08,43.06610828474565,-88.02970781748743,-x-7o6guNZobSZOS5GRc4Q,7517,88.35,129.81,2.44
16577,2018-09,43.06771712875543,-88.02970061948095,Qb0OOsWDi12Qk1l4ijoDhA,7518,269.1,151.66,0.56
16578,2011-08,43.06420733780332,-88.02968568657263,nIwytSfkHiGGRS4xgscBMw,7519,269.24,-109.78,1.41
16579,2011-09,42.89014751410758,-87.85264499469211,mhh34Pb87BQwijwUMDMacA,752,327.55,104.36,0.9
16580,2015-10,43.050010520065214,-87.94277278486048,USsIeOkZ84Pm19NbTh8HeQ,7520,90.32,-162.92,1.48
16581,2017-08,43.0514089,-87.94278100000001,anPVv1DE-adqI8EoiUGE6A,7521,180.58,95.27,1.8
